latitude;longitude;GID;FECHA_DE_MODIFICACION;TITULO;TIPO;DIRECCION;COMO_IR;BARRIO;GALERIA_DE_IMAGENES;LINEAS DE OMNIBUS;TELEFONO;CORREO;PAGINA_WEB;INFORMACION_GENERAL;SERVICIOS_QUE_SE_PRESTAN;ACCESIBILIDAD_DEL_ENTORNO;"ESTACIONAMIENTO""";LUGARES;TIPO_DE_PUERTA;RAMPA;DESCRIPCION_DE_RAMPAS;ESCALONES;BANIOS;DESCRIPCION_BANIOS;CIRCULACION_ACCESIBLE;ASCENSOR;ACCESIBILIDAD_FISICA;ACCESIBILIDAD_VISUAL;ACCESIBILIDAD_AUDITIVA;ACCESIBILIDAD_COMUNICACIONAL;CANTIDAD_DE_SALAS;INFORMACION_DE_SALAS
-34.902.313.862.045;-56.144.138.571.712;64;17/04/2015 - 14:27;Parque de la Amistad;Parques y plazas;Av. Rivera esq. Dolores Pereira de Rosell;http://www.montevideo.gub.uy/aplicacion/como-ir?key=d8om9wrr4f;PQUE BATLLE VILLA DOLORES;;;1950 3120;Secretaria.discapacidad@imm.gub.uy;https://www.youtube.com/watch?v=OUbHuQ0Xnik&feature=youtu.be;El Parque de la Amistad es un proyecto de la Intendencia de Montevideo en el marco del Compromiso de Accesibilidad y es la consolidaci?n de un proceso de transformaci?n de los espacios p?blicos de la ciudad.Es un lugar de accesibilidad f?sica y social que propone el encuentro vivencial entre ni?as y ni?os sin ning?n tipo de barreras.En este espacio se juega con hamacas, calesitas, toboganes, pero lo m?s interesante es que se juega con otros/as.;Personal capacitado. Voluntarios.;S?. Rebajes de cord?n en los cruces.;S?;Estacionamiento reservados por calle Dolores de Rosell y Rosell y Rius;;SI;Rebaje de cord?n. Accesibilidad interna.;No;Ba?os accesibles;Ba?os accesibles y cambiador, junto a las oficinas del Parque, hacia el lado del sector de toboganes.;S?.;No;Juegos inclusivos y accesibles.Ba?os accesibles.Recorridos accesibles.Acompa?amiento de personal capacitado y voluntarios.;No;Carteler?a informativa y descriptiva del lugar, acompa?amiento de personal capacitado y voluntarios.;Carteler?a informativa y descriptiva del lugar, acompa?amiento de personal capacitado y voluntarios.;;Los diferentes espacios posibilitan el juego de diferentes formas y con diferentes texturas. Diferenciando tambi?n las edades, nos podemos encontrar con hamacas, toboganes, juegos sonoros y t?ctiles, entre otros.
-34.888.548.765.381;-56.124.386.784.526;21;17/04/2015 - 14:23;Plaza Delmira Agustini;Parques y plazas;Blixen (esq. Alto Per?);http://www.montevideo.gub.uy/aplicacion/como-ir?key=ad9yhz5y2q;MALVIN;;;1950 7056;municipioe@imm.gub.uy;http://municipioe.montevideo.gub.uy/comunicacion/noticias/juegos-modulares-accesibles-en-el-municipio-e;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con hamaca accesible y calesita inclusiva.;;Rebaje de cord?n.;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;S?.;No;Es un espacio recreativo libre que cuenta con hamaca accesible y calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.891.987.357.335;-56.116.498.407.812;22;17/04/2015 - 14:20;Plaza del Leonismo;Parques y plazas;Asamblea (esq. Colombes);http://www.montevideo.gub.uy/aplicacion/como-ir?key=kgniraqgbb;MALVIN;;427, 526, 173, 142, 60, 140, 2, D11, 7E7R (inter);1950 7332;municipioe@imm.gub.uy;http://municipioe.montevideo.gub.uy/comunicacion/noticias/juegos-modulares-accesibles-en-el-municipio-e;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna, facilitando el acceso.Es un espacio recreativo libre que cuenta con hamaca accesible y calesita inclusiva.;;Rebaje de cord?n. Camineria interna de material. Sin se?alizaci?n para personas con discapacidad visual.;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;S?.;No;Espacio recreativo libre que cuenta con hamaca accesible y calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.892.389.688.689;-56.109.666.821.452;7;17/04/2015 - 14:16;Plaza Eduardo Fabini;Parques y plazas;Verdi (esq Candelaria);http://www.montevideo.gub.uy/aplicacion/como-ir?key=fv0yw16h2r;MALVIN;;427, 402, 111, 113, 526, 142, 173 ;1950 7343;municipioe@imm.gub.uy;http://municipioe.montevideo.gub.uy/comunicacion/noticias/juegos-modulares-accesibles-en-el-municipio-e;"Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se acondicion? la caminer?a interna para su mejor circulaci?n. Es un espacio recreativo libre que cuenta con hamacas accesibles con agarres con velcro, hamaca accesible para personas en silla de ruedas, calesita inclusiva y mangrullo con accesibilidad para ni?os en silla de ruedas ,donde existen juegos de percusi?n y sonoros; dos tambores, un ""tel?fono"" hecho de ca?os y un ta te ti con relieves.";;Veredas con rebaje de cord?n con se?alizaci?n para personas con discapacidad visual. Rampa de hormig?n con baranda.;;;;SI;Rebaje de cord?n. Rampa con baranda en uno de los lados.;S?;No hay ba?os;;S?.;No;Rebaje de cord?n. Juegos inclusivos y accesibles para personas con discapacidad motriz.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-3.488.631.716.748;-56.100.890.633.556;23;17/04/2015 - 14:07;Plaza Sandino;Parques y plazas;Av. Italia esq. Segovia;http://www.montevideo.gub.uy/aplicacion/como-ir?key=g5g0kf8pcl;MALVIN;;64, 21, D10, Interdepartamentales;1950 7332;municipioe@imm.gub.uy;http://municipioe.montevideo.gub.uy/comunicacion/noticias/juegos-modulares-accesibles-en-el-municipio-e;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con una calesita inclusiva.;;Rebaje de cord?n con se?alizaci?n para personas con discapacidad visual.;;;;SI;Rebaje de cord?n. Rampa de acceso a la plaza hecha de hormig?n con baranda.;S?;No hay ba?os;;Dificultosa.;No;Rampa. Espacio recreativo libre que cuenta con una calesita inclusiva.?;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.879.622.373.778;-56.093.530.652.019;14;17/04/2015 - 14:00;Parque CEDEL;Parques y plazas;Parque Rivera -Benito Cu?arro s/n esq. Bolivia, Ex Hotel del Lago- ;http://www.montevideo.gub.uy/aplicacion/como-ir?key=lrvokq8n8k;CARRASCO NORTE;;427, Linea G, 546, 21, 370, 112, 105;1950 7332;municipioe@imm.gub.uy;http://municipioe.montevideo.gub.uy/comunicacion/noticias/inauguracion-juegos-saludables-e-inclusivos;Plaza dentro del Parque Gral. Rivera que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con hamaca accesible y calesita inclusiva.;;Dificultosa. Las calles no se encuentran en muy buenas condiciones. No hay se?alizaci?n para personas con discapacidad visual, ni suficiente carteler?a informativa y/o indicativa.;;;;SI;Rebaje de cord?n.;S?;Ba?os no accesibles;Ba?os p?blicos del Parque. Los ba?os accesibles se encuentras dentro del CEDEL donde se deben solicitar las llaves.;Dificultosa. El suelo tiene desniveles producto de las ra?ces de los ?rboles.;No;Espacio recreativo libre que cuenta con hamaca accesible y calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.890.201.006.134;-56.078.628.298.731;41;17/04/2015 - 13:56;Plaza Suiza;Parques y plazas;Rivera (esquina Toronto);http://www.montevideo.gub.uy/aplicacion/como-ir?key=g65ti5h6y8;PUNTA GORDA;;60, 140, 2;1950 7332;municipioe@imm.gub.uy;http://municipioe.montevideo.gub.uy/comunicacion/noticias/inauguracion-juegos-saludables-e-inclusivos;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;;Rebaje de cord?n. ;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;S?.;No;Rebaje de cord?n. Juegos inclusivos hamaca accesible para personas en silla de ruedas y calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.854.795.847.136;-56.138.570.305.796;66;17/04/2015 - 13:54;Plaza en Piccioli y Vasconcellos;Parques y plazas;Piccioli esq. Vasconcellos;http://www.montevideo.gub.uy/aplicacion/como-ir?key=85he54nt17;VILLA ESPA?OLA;;;1950 7009;municipiof@imm.gub.uy;http://municipiof.montevideo.gub.uy/comunicacion/noticias/juegos-saludables;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con una calesita inclusiva.;;Rebajes de cord?n.;;;;;;;No hay ba?os;;Dificultosa.;;Calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.874.837.312.897;-56.182.408.329.935;19;17/04/2015 - 13:52;Plaza Cardenal Antonio Mar?a Barbieri;Parques y plazas;Av Garibaldi (esq. Marsella);http://www.montevideo.gub.uy/aplicacion/como-ir?key=10ktxq9eaa;REDUCTO;;;1950 7575;municipioc@imm.gub.uy;http://municipioc.montevideo.gub.uy/;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;;Rebaje de cord?n. Rampa. ;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;;No;Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.875.405.941.206;-56.199.338.433.239;59;17/04/2015 - 13:51;Plaza Miguel Angel Pareja;Parques y plazas;Av. Agraciada esq. Grito de Asencio.;http://www.montevideo.gub.uy/aplicacion/como-ir?key=1sm3y6bfdb;CAPURRO BELLA VISTA;;;1950 7575;municipioc@imm.gub.uy;http://municipioc.montevideo.gub.uy/;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con calesita inclusiva y hamaca accesible para personas en silla de ruedas.;;Rebaje de cord?n. ;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;S?.;No;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna.Es un espacio recreativo libre que cuenta con calesita inclusiva y hamaca accesible para personas en silla de ruedas.?;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.864.430.341.918;-56.195.325.848.551;97;17/04/2015 - 13:49;Plaza Venancio Benavidez y Caigu?;Parques y plazas;Venancio Benavidez esq. Caigu?;http://www.montevideo.gub.uy/aplicacion/como-ir?key=32quzxkn6c;PRADO NUEVA SAVONA;;;1950 7575;municipioc@imm.gub.uy;http://municipioc.montevideo.gub.uy/;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con calesita inclusiva y hamaca accesible para personas en silla de ruedas.;;Rebaje de cord?n.;;;;SI;Rebaje de cord?n.;;No hay ba?os;;S?.;No;Juegos inclusivos.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.881.896.887.024;-56.182.837.483.377;62;17/04/2015 - 13:48;Plaza ex Terminal Goes;Parques y plazas;Domingo Arambur? 1575;http://www.montevideo.gub.uy/aplicacion/como-ir?key=cs4r3galsa;GOES;;;1950 7575;municipioc@imm.gub.uy;http://municipioc.montevideo.gub.uy/;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta calesita inclusiva.;;Rebaje de cord?n. Sin se?alizaci?n para personas con discapacidad visual.;;;;SI;Rebaje de cord?n sin barandas. Rebaje en los accesos a la plaza.;S?;Ba?os accesibles;Ba?os accesibles en el centro cultural de la plaza. Los mismos est?n abiertos al p?blico de lunes a s?bados de 10 a 20hs.;S?.;No;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna.Es un espacio recreativo libre que cuenta con una calesita inclusiva.??;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.902.796.659.666;-56.177.805.659.266;57;13/04/2015 - 14:50;Facultad de Artes - Instituto Escuela Nacional de Bellas Artes- UdelaR;Centros educativos;18 de Julio 1772;http://www.montevideo.gub.uy/aplicacion/como-ir?key=3garenhtgv;CORDON;;Todas las que van por 18 de Julio;2708 7606;;http://www.enba.edu.uy/;La Escuela Nacional de Bellas Artes estuvo durante la d?cada del ?50 en la ?rbita del Ministerio de Instrucci?n P?blica. Por la ley de Presupuesto de 1957 ingresa a la Universidad de la Rep?blica como Escuela dependiente del Rectorado y luego de un proceso de m?s de cuarenta a?os, en 1993, por resoluci?n del Consejo Directivo Central, se constituye en Instituto Asimilado a Facultad, estando en el presente en proceso de constituir la Facultad de Artes conjuntamente con la Escuela Universitaria de M?sica.;;Rebaje de cord?n con se?alizaci?n para personas con discapacidad visual.;;;Batiente;SI;Rampa de material con barandas por 18 de Julio.Rampa acceso por Guayabos.;S?;Ba?os accesibles;Ba?os masculinos en planta baja.Ba?os accesibles universales en 3er y 4to piso.;S?.;S?;Rampas y ascensor. Ba?os accesibles.;S?;Carteler?a solo descriptiva.;Carteler?a solo descriptiva.;;
-34.836.621.198.853;-56.221.343.275.996;53;13/04/2015 - 13:40;Facultad de Agronom?a UdelaR;Centros educativos;Garz?n 780;http://www.montevideo.gub.uy/aplicacion/como-ir?key=p6lcg0ybqu;;;;2435  1/2 ;;http://portal.fagro.edu.uy/index.php/institucional/vision-y-mision;La Facultad de Agronom?a es una instituci?n p?blica con liderazgo nacional y reconocimiento regional en educaci?n terciaria y superior en Ciencias Agrarias. Contribuye con excelencia, pertinencia y valores ?ticos al desarrollo sostenible del pa?s, basada en la integraci?n de la ense?anza con la investigaci?n, la innovaci?n y la extensi?n.;;;;;;;;S?;Ba?os no accesibles;;Dificultosa.;;Accesibilidad y circulaci?n dificultosa.;No;Carteler?a e informaci?n descriptiva.;Carteler?a e informaci?n descriptiva.;;
-3.490.575.781.842;-56.194.124.218.911;76;13/04/2015 - 12:59;Museo Centro de Exposiciones SUBTE;Museo;Plaza Fabini s/n, 18 de Julio y Julio Herrera.;http://www.montevideo.gub.uy/aplicacion/como-ir?key=eehzf7fkis;CENTRO;;;29087643; subtemvd@gmail.com;http://subte.montevideo.gub.uy/;El acceso para personas con discapacidad se puede hacer por el ascensor ubicado en la calle Julio Herrera y Obes, dicho ascensor cuenta tambi?n con botones con texto en braile indicando el n?mero del piso (no tiene audio-gu?a).Centro cultural para la creaci?n, producci?n y difusi?n del arte contempor?neo. Ubicado en el coraz?n de la ciudad de Montevideo, este espacio cuenta con una amplia y diversa participaci?n de visitantes, artistas e intermediarios culturales.;Personal que acompa?a a quienes visiten las diferentes muestras.;Rebaje de cord?n.;;;Corrediza;NO;;S?;Ba?os no accesibles;;Espacios amplios, sin se?alizaci?n para personas con discapacidad visual.;S?;Acceso por ascensor. Espacios amplios. Ba?os no accesibles.;No;Informaci?n en carteler?a. Muestras itinerantes y variadas.;Informaci?n en carteler?a. Muestras itinerantes y variadas.;;
-34.903.397.474.487;-56.203.383.204.433;75;13/04/2015 - 12:46;Museo de las Migraciones;Museo;Bartolom? Mitre 1550 esq. Piedras;http://www.montevideo.gub.uy/aplicacion/como-ir?key=gn7fw7x1ob;CIUDAD VIEJA;;;1950 1777- 2916 5316 - 2915 1318;;http://mumi.montevideo.gub.uy/museo-de-las-migraciones;"El museo no cuenta con rampa de acceso ni ascensores. En su entrada principal hay un escal?n y un tramo de escalera, lo que dificulta el acceso a las personas con discapacidad motriz. No hay se?alizaci?n para las personas con discapacidad visual.s de destacar que el personal que all? trabaja brinda la ayuda necesaria para salvaguardar dichas barreras. Se puede coordinar la visita comunic?ndose con los n?meros que aparecen aqu?.Misi?n:Ilustrar, explicar, difundir y divulgar el fen?meno migraciones, caracteriz?ndose por establecer un modelo de museo din?mico e integral, en permanente sinton?a con el visitante, con un dise?o audaz y vanguardista.Objetivo general: Poner en valor el patrimonio cultural de las comunidades migrantes a partir de la generaci?n de sinergias entre el museo, la ciudadan?a, investigadores, artistas, promoviendo una representaci?n patrimonial consensuada e inclusiva, que permita visualizar qu? han supuesto las migraciones humanas para las sociedades; y que permitan  reconocer que en la diversidad cultural, se sustenta el patrimonio com?n de la humanidad.";Personal capacitado.;Rebajes de cord?n.;;;Batiente;NO;;S?;Ba?os no accesibles;Los ba?os no cuentan con accesibilidad para personas con discapacidad motriz.;No hay conexi?n accesible entre los diferentes lugares del museo.;No;Muy dificultosa.Accesibilidad a la Muralla, entrada a nivel del suelo.;No;Carteler?a e informaci?n descriptiva. Personal capacitado para brindar ayuda.;Carteler?a e informaci?n descriptiva. Personal capacitado para brindar ayuda.;3;Planta Principal, Sub suelo, Muralla
-34.908.259.911.448;-56.196.401.152.575;60;07/04/2015 - 15:11;Teatro Sala Verdi;Teatro;Soriano 914;http://www.montevideo.gub.uy/aplicacion/como-ir?key=9k956ae489;CENTRO;;;29017453;;http://salaverdi.montevideo.gub.uy/;La sala no cuenta ni con rampa de acceso ni con ba?o accesible. Tampoco existe se?alizaci?n para personas con discapacidad visual. El personal que all? trabaja, brinda la ayuda necesaria para salvaguardar las barreras de accesibilidad que se presenten.Sala Verdi es una de las casas de la Comedia Nacional, elenco oficial de Uruguay. Asimismo, en su car?cter de sala perteneciente a la Intendencia de Montevideo, acoge presentaciones de muestras estudiantiles y de egresados tanto de la Escuela de M?sica ?Vicente Ascone? y como de la Escuela Multidisciplinaria de Arte Dram?tico.Se considera tambi?n cometido de la sala dar espacio a propuestas del interior, as? como artistas de car?cter internacional.;;Rebaje de cord?n. Sin se?alizaci?n para personas con discapacidad visual. Circulaci?n dificultosa.;;;Batiente;NO;;S?;Ba?os no accesibles;Los ba?os son bajando una escalera, no cuentan con accesibilidad universal. ;No.;No;No tiene rampa de acceso ni ascensor. No hay ba?os accesibles.;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.891.166.601.377;-56.153.655.049.297;65;07/04/2015 - 11:40;Espacio en la explanada del Hospital de Cl?nicas ;Parques y plazas;Av. Italia esq. Av. Centenario;http://www.montevideo.gub.uy/aplicacion/como-ir?key=2egcyqd35v;PQUE BATLLE VILLA DOLORES;;;;;;Es un espacio recreativo libre que cuenta con un mangrullo para personas en silla de ruedas.Este predio ha sido reformado por parte de la Universidad de la Rep?blica, en el marco del Compromiso de Accesibilidad.El mangrullo se encuentra junto a un espacio de juegos saludables.;;Rebaje de cord?n.;;;;SI;Rebaje de cord?n.;S?;;;Dificultosa.;No;Mangrullo.;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.895.801.458.557;-56.107.993.123.026;9;06/04/2015 - 14:47;Playa Malv?n;Playa;Rambla O'higgins e Hipolito Yrigoyen;http://www.montevideo.gub.uy/aplicacion/como-ir?key=2laswbrvke;MALVIN;;Rambla: 104, 111, 113, 402. Almeria: 60, 140, Linea G, 2.;1950 7343;;http://www.montevideo.gub.uy/ciudad-y-cultura/deportes-y-playas/playasciudad-y-cultura/deportes-y-playas/playas/playas-de-montevideo/playa-mal;Una de las playas de Montevideo que cuenta con accesibilidad. Rampa de madera y caminero de tablones de madera hasta la arena, ba?o accesible en temporada de verano.Rodeada por uno de los barrios m?s elegantes de la capital, la playa Malv?n se caracteriza por ser m?s amplia que las anteriores y por tener aguas m?s claras. En frente a la playa puede verse la Isla de las Gaviotas, una formaci?n rocosa que da un encanto especial al paisaje. Cuenta con un parador. ;;Rambla con rebaje de cord?n en los cruces. Acceso por la bajada de la calle Hipolito Yrigoyen.;;;;SI;Rampa de madera con baranda a los lados. Caminero de tablones de madera hasta la arena.;S?;Ba?os accesibles;Ba?os qu?micos colocados en temporada de verano.;Rampa de acceso. Caminero de madera que permite el acceso a la arena.;No;Rampa. Caminero de madera que permite el acceso hasta la arena.Ba?os qu?micos accesibles.(Los ba?os se encuentran disponibles en temporada de verano);S?;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.869.666.013.916;-56.340.857.145.281;11;06/04/2015 - 14:03;Playa Pajas Blancas;Playa;Rambla Puerto Soledad de Malvinas;http://www.montevideo.gub.uy/aplicacion/como-ir?key=o62a1l8kxv;CASABO PAJAS BLANCAS;;L15 Y L16 (Terminal en la playa);;;http://www.municipioa.montevideo.gub.uy/node/191;Una de las playas de Montevideo que cuenta con accesibilidad. Se accede a la misma a trav?s de una rampa de material con barandas a los lados y un caminero hecho de tablones de madera que permite el acceso hasta la arena.Se encuentra en la costa del r?o de la Plata, al oeste del cerro de Montevideo y al noroeste de Punta Yeguas. Zona costera agreste. Pesca artesanal.;;Arreglo del estado de veredas y entorno a la playa. Rebajes de cord?n sin se?alizaci?n para personas con discapacidad visual.;;;;SI;Rampa de material con barandas a los lados. Tramo con un caminero de tablas de madera que facilita el acceso a la arena. ;S?;No hay ba?os;;;No;Rampa de acceso de material con barandas a los lados. Caminero de tablones de madera hasta la arena. No hay ba?o.;S?;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.907.066.736.419;-56.191.935.536.357;61;06/04/2015 - 13:58;Punto de Encuentro;Otros;San Jos? 1116;http://www.montevideo.gub.uy/aplicacion/como-ir?key=8iemebea0t;CENTRO;;;2902 3941;puntodeencuentro.mec@gmail.com;http://cultura.mec.gub.uy/mecweb/container.jsp?contentid=1715&site=8&chanel=mecweb&3colid=1715;Es un proyecto multidisciplinario de la Direcci?n Nacional de Cultura_MEC para promover el cruce de los lenguajes art?sticos e impulsar el encuentro entre las distintas disciplinas, articulando el di?logo y la reflexi?n entre los creadores, el p?blico y las instituciones.Cuenta en su puerta de acceso principal con una rampa de metal con baranda a los lados. Rampas internas y espacios amplios. Ba?o accesible. No cuenta con se?alizaci?n para personas con discapacidad visual.;;Rebaje de cord?n.;;;Batiente;SI;Rampa de material con piso antideslizante con baranda en uno de los lados.;S?;Ba?os accesibles;Ba?o accesible en la parte trasera de planta baja, detr?s de la videoteca y biblioteca.;S?.;S?;Rampa en el acceso principal. Ba?o accesible.;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;2;Sala principal y Mediateca cultural
-34.823.059.950.074;-56.174.468.991.252;95;06/04/2015 - 13:40;Complejo Municipal SACUDE;Otros;Los ?ngeles 5340 esquina Curitiba.;http://www.montevideo.gub.uy/aplicacion/como-ir?key=l9v2v774dm;CASAVALLE;;;22260149;;http://www.sacude.org.uy/;El Complejo Municipal SACUDE es un proyecto que apuesta a mejorar la calidad de vida de los vecinos y vecinas del Municipio D mediante la promoci?n de su acceso democr?tico a la cultura, el deporte y la salud.La entrada accesible es por las canchas que se encuentran hacia el costado de la entrada principal. En sus instalaciones cuentan con ba?o accesible. Est? ubicado en el Barrio Municipal, en la zona de Casavalle, y se construy? en 2010 en el marco de la regularizaci?n de tres asentamientos de la zona: Barrios Unidos, Curitiba y 3 de Agosto.;;Rebajes de cord?n, sin se?alizaci?n para personas con discapacidad visual.;;;Batiente;NO;La entrada accesible se encuentra a nivel del suelo, a trav?s de la puerta del gimnasio. ;No;Ba?os accesibles;;S?.;No;Cuenta con entrada accesible y ba?o accesible.;No;Carteler?a e informaci?n. Personal capacitado para brindar ayuda.;Carteler?a e informaci?n. Personal capacitado para brindar ayuda.;;
-34.902.388.963.897;-56.176.636.216.136;71;27/03/2015 - 14:30;Facultad de Derecho UdelaR;Centros educativos;Av. 18 de Julio 1824;http://www.montevideo.gub.uy/aplicacion/como-ir?key=cadu34kot9;CENTRO;;;2408 3311;sdecano@fder.edu.uy;http://www.fder.edu.uy/;Rampa de acceso en entrada principal. Elevador. Ba?os accesibles en planta baja y planta alta. Mostrador en Consultorio Jur?dico a altura accesible para personas en silla de ruedas.En el a?o 2008, la Facultad de Derecho cumpli? 170 a?os de su creaci?n, como leg?tima sucesora de la Academia Te?rico-Pr?ctica de Jurisprudencia fundada el 11 de junio de 1838. Sus or?genes son a?n m?s remotos, ya que la C?tedra de Jurisprudencia hab?a sido erigida exactamente 5 a?os antes, en los albores de la Rep?blica. Su establecimiento definitivo se dio en 1849, junto con el de la Universidad.La Facultad ha cumplido a lo largo de su historia un rol de garante del ordenamiento jur?dico en un entorno cambiante fuertemente caracterizado por requerimientos cada vez m?s exigentes en los que ha sabido posicionar y defender la importancia de las normas y el respeto del Derecho.En su tradicional Edificio Principal, que comparte con la Universidad y constituye uno de los ?conos arquitect?nicos de la Capital, en su moderno Anexo de la calle Colonia y en sus instalaciones de la Regional Norte en Salto, estudian en forma activa m?s de seis mil alumnos, imparten clase m?s de 700 docentes y trabajan m?s de 200 funcionarios administrativos. Una gran comunidad acad?mica al servicio del desarrollo nacional.Fuente: http://www.fder.edu.uy/institucion.html;;Rebajes de cord?n.;;;Batiente;SI;Rampa en el acceso principal.;S?;Ba?os accesibles;Ba?os accesibles para hombre y mujeres dispuestos en planta alta y baja.;Si. Elevadores y rampa.;No;Rampa de acceso. Elevador. Ba?o accesible.;No;Careteler?a, folleter?a, mapas etc, dispuestos en el recorrido del edificio.;Careteler?a, folleter?a, mapas etc, dispuestos en el recorrido del edificio.;;Anexo de Facultad de Derecho
-34.903.333.101.471;-56.123.603.579.494;37;20/03/2015 - 15:57;Museo Zool?gico D?maso Antonio Larra?aga;Museo;Rambla Armenia (esq. Tom?s Basa?ez);http://www.montevideo.gub.uy/aplicacion/como-ir?key=aug730flux;BUCEO;;104;2622 0258;;http://www.montevideo.gub.uy/ciudad/cultura/museos-y-salas/museo-zoologico-damaso-antonio-larranaga;"El acceso principal es a nivel del suelo. Sus pasillos anchos hacen que la circulaci?n sea m?s f?cil y c?moda; las vitrinas tienen buena visualizaci?n.No cuenta con descripci?n en braile ni audio-gu?a.El museo re?ne numerosas especies de fauna aut?ctona, en particular aquellas que por alteraciones ambientales est?n en peligro de extinci?n, y elementos provenientes de otras regiones del planeta.La funci?n del museo es esencialmente did?ctica. Sus actividades y programas se orientan a la difusi?n de conocimientos relativos a este sector de las Ciencias Naturales.";;Rebaje de cord?n.;;;Batiente;NO;Rebajes de cord?n.;S?;Ba?os no accesibles;;Sin se?alizaci?n para personas con discapacidad visual.;No;Acceso a nivel del suelo. Espacios amplios. Ba?os no accesibles.;No;Carteler?a descriptiva. Accesibilidad b?sica.;Carteler?a descriptiva. Accesibilidad b?sica.;;
